LON,LAT,SOG,COG
18.29546,-65.43929,24.1,87.2
18.29552,-65.43186,25.3,86.5
18.29508,-65.42439,24.2,92.3
18.29473,-65.41685,24.5,90.9
18.29485,-65.40936,24.7,86.9
18.29497,-65.40182,24.6,84
18.2949,-65.39431,24.8,93.6
18.29439,-65.38644,25.5,95.3
18.29397,-65.37854,26.2,93.6
18.29348,-65.37035,25.7,94.9
18.28824428571429,-65.27820929,0.8,113.2
18.29269,-65.36243,26.9,95.4
18.29145,-65.35434,26.4,96.3
18.29002,-65.34661,26.3,102.6
18.2879,-65.33902,26.3,103.8
18.28622,-65.33133,26.7,102.1
18.28468,-65.32357,26.3,100.7
18.28298,-65.31581,26.6,107.2
18.28078,-65.30825,25.6,111.3
18.27805,-65.30085,26.4,109.8
18.27566,-65.29331,27.1,103.2
18.27446,-65.28623,23.3,87.4
18.27787,-65.28025,25,43.9
18.28374,-65.2762,25,29.1
18.29308,-65.28109,7.1,200.3
18.29111,-65.28111,6.9,154.7
18.28976,-65.28031,4.8,143.7
18.28902,-65.28013,0.3,186.4
18.28898,-65.28011,1.2,104.9
