LON,LAT,SOG,COG
18.306690549546712,-65.29923962,0.3,164.25333333333333
18.306691867225915,-65.29923825,0.3,167.06
18.30669333333333,-65.29923667,0.3,169.86666666666667
18.30669498381626,-65.29923485,0.3,172.67333333333335
18.306696670246488,-65.299233,0.3,175.48000000000002
18.30669819810192,-65.2992314,0.3,178.28666666666666
18.306699372860454,-65.29923031,0.3,181.09333333333333
18.3067,-65.29923,0.3,183.9
18.3066999136011,-65.29923068,0.3,167.88513011152418
18.306699062154838,-65.2992323,0.3,151.87026022304832
18.30640831361261,-65.29934758,0.3,38.249907918968695
18.30669742275493,-65.29923474,0.3,135.8553903345725
18.30669497249509,-65.29923789,0.3,119.84052044609663
18.30669168846905,-65.29924163,0.3,103.8256505576208
18.30668754777053,-65.29924584,0.3,87.81078066914496
18.306682527493223,-65.29925041,0.3,71.79591078066912
18.30667660473088,-65.29925523,0.3,55.78104089219329
18.306669756579574,-65.29926017,0.3,40.28305709023941
18.306662030951305,-65.29926511,0.3,39.774769797421726
18.30665373209742,-65.29926995,0.3,39.26648250460405
18.30664522225193,-65.29927454,0.3,38.75819521178637
