LON,LAT,SOG,COG
18.336796910575597,-65.62248305,5.367164179104478,72.83333333333333
18.33679270658661,-65.6224848,5.24179104477612,57.06569847856154
18.33678835848395,-65.62248666,5.109090909090909,41.29806362378976
18.33678395293227,-65.62248853,5.103225806451613,25.530428769017977
18.336780056773428,-65.62248998,5.619354838709677,9.762793914246195
18.336777190377305,-65.6224906,6.024137931034483,9.289872008903728
18.336775221960607,-65.62249051,6.196774193548387,9.076182526432945
18.336773848345437,-65.62248994,5.680645161290323,8.862493043962159
18.336772766353107,-65.62248914,5.5,8.648803561491375
18.336771672804968,-65.62248834,5.478698224852071,8.43511407902059
18.336065565806557,-65.62318546,4.982352941176471,6.084529771841959
18.33677032533496,-65.62248775,5.372189349112426,8.221424596549806
18.336768737301306,-65.62248735,5.265680473372781,8.00773511407902
18.336766989269982,-65.62248708,5.159171597633136,7.7940456316082365
18.3367651618073,-65.62248687,5.0526627218934905,7.580356149137451
18.33676333547952,-65.62248666,4.946153846153846,7.366666666666666
18.33676157506083,-65.6224864,4.839644970414201,7.152977184195882
18.336759878917658,-65.62248609,4.733136094674556,6.939287701725098
18.33675822796361,-65.62248574,4.626627218934911,6.725598219254313
18.3367566031122,-65.62248537,4.742105263157895,6.511908736783528
18.33675498527695,-65.622485,4.911764705882353,6.298219254312744
